date,start,end
,,
,,
,,
,,
,,
,,
,,
,,
,,
26.01.17,,
25.01.17,,
24.01.17,,
19.01.17,,
18.01.17,,
17.01.17,,
12.01.17,,
11.01.17,,
10.01.17,,
05.01.17,,
04.01.17,,
03.01.17,,
30.12.16,,
29.12.16,8:58:18,17:53:58
28.12.16,09:00,13:00
27.12.16,09:00,13:00
23.12.16,8:48:40,13:25:32
22.12.16,08:54:00,15:54:45
21.12.16,8:58:38,16:16:21
14.12.16,9:34:12,16:39:02
13.12.16,8:51:28,18:16:00
12.12.16,9:41:29,14:41:29
08.12.16,9:22:04,15:26:55
07.12.16,9:13:13,15:13:12
06.12.16,9:15:14,15:14:05
01.12.16,8:41:20,15:49:20
30.11.16,8:20,14:18
29.11.16,9:06,15:05
24.11.16,8:46,14:46
23.11.16,8:46,14:45
22.11.16,8:46,14:45
17.11.16,10:07,16:06
16.11.16,8:47,14:45
15.11.16,8:36,14:35
14.11.16,8:47,14:34
10.11.16,8:37,14:35
09.11.16,8:47,14:46
08.11.16,8:50,14:47
03.11.16,8:48,16:39
01.11.16,9:45,16:52
25.10.16,10:00,15:00